fid,DAUID,DGUID,LANDAREA,PRUID,lon,lat,area-DAs(s,flood-area,flood-prc,parks-area
89,"59150414",2021S051259150414,0.071100000000000,"59",-123.078263,49.241368,71066.823,0.000000000000000,0.000000000000000,
90,"59150415",2021S051259150415,0.117400000000000,"59",-123.074944,49.242815,117426.382,0.000000000000000,0.000000000000000,
91,"59150416",2021S051259150416,0.089300000000000,"59",-123.079602,49.239288,89331.228,0.000000000000000,0.000000000000000,
92,"59150417",2021S051259150417,0.071000000000000,"59",-123.079897,49.236429,71007.879,0.000000000000000,0.000000000000000,
93,"59150419",2021S051259150419,0.091400000000000,"59",-123.084244,49.242088,91446.465,0.000000000000000,0.000000000000000,16172.951000
94,"59150420",2021S051259150420,0.086100000000000,"59",-123.069380,49.248719,86113.506,0.000000000000000,0.000000000000000,
95,"59150421",2021S051259150421,0.100300000000000,"59",-123.066400,49.248029,100279.680,0.000000000000000,0.000000000000000,13867.420000
96,"59150422",2021S051259150422,0.087000000000000,"59",-123.067466,49.251195,86970.536,0.000000000000000,0.000000000000000,
97,"59150423",2021S051259150423,0.133000000000000,"59",-123.062772,49.248533,132952.915,0.000000000000000,0.000000000000000,
98,"59150424",2021S051259150424,0.150500000000000,"59",-123.062225,49.251836,150503.238,0.000000000000000,0.000000000000000,
99,"59150425",2021S051259150425,0.087400000000000,"59",-123.057884,49.250724,87418.590,0.000000000000000,0.000000000000000,
100,"59150426",2021S051259150426,0.249400000000000,"59",-123.061303,49.254950,285944.708,0.000000000000000,0.000000000000000,273930.205000
101,"59150427",2021S051259150427,0.102600000000000,"59",-123.054552,49.254777,102616.863,0.000000000000000,0.000000000000000,
102,"59150428",2021S051259150428,0.150500000000000,"59",-123.051080,49.254828,150483.229,0.000000000000000,0.000000000000000,44455.688000
103,"59150429",2021S051259150429,0.109300000000000,"59",-123.053837,49.251828,109311.740,0.000000000000000,0.000000000000000,
104,"59150430",2021S051259150430,0.083300000000000,"59",-123.054218,49.249476,83256.317,0.000000000000000,0.000000000000000,
105,"59150431",2021S051259150431,0.104000000000000,"59",-123.049961,49.249357,104006.728,0.000000000000000,0.000000000000000,
106,"59150432",2021S051259150432,0.132500000000000,"59",-123.052720,49.246718,132457.954,0.000000000000000,0.000000000000000,
107,"59150433",2021S051259150433,0.063000000000000,"59",-123.054921,49.245668,63003.765,0.000000000000000,0.000000000000000,
108,"59150434",2021S051259150434,0.068700000000000,"59",-123.052956,49.243907,68745.505,0.000000000000000,0.000000000000000,
109,"59150435",2021S051259150435,0.068800000000000,"59",-123.055724,49.242274,68775.374,0.000000000000000,0.000000000000000,
110,"59150436",2021S051259150436,0.108600000000000,"59",-123.052295,49.241547,108577.127,0.000000000000000,0.000000000000000,
111,"59150437",2021S051259150437,0.103800000000000,"59",-123.056525,49.239708,103816.454,0.000000000000000,0.000000000000000,
112,"59150438",2021S051259150438,0.088200000000000,"59",-123.049656,49.239430,88163.037,0.000000000000000,0.000000000000000,
113,"59150439",2021S051259150439,0.102600000000000,"59",-123.051473,49.237319,102628.766,0.000000000000000,0.000000000000000,22711.647000
114,"59150440",2021S051259150440,0.113100000000000,"59",-123.055905,49.237193,113059.394,0.000000000000000,0.000000000000000,
115,"59150442",2021S051259150442,0.104700000000000,"59",-123.051293,49.233992,104672.386,0.000000000000000,0.000000000000000,
116,"59150443",2021S051259150443,0.118600000000000,"59",-123.052998,49.231231,118551.509,0.000000000000000,0.000000000000000,
117,"59150444",2021S051259150444,0.101500000000000,"59",-123.048898,49.230534,101509.424,0.000000000000000,0.000000000000000,
118,"59150445",2021S051259150445,0.088100000000000,"59",-123.050885,49.228673,88095.091,0.000000000000000,0.000000000000000,
119,"59150446",2021S051259150446,0.083600000000000,"59",-123.049699,49.227176,83645.293,0.000000000000000,0.000000000000000,
120,"59150447",2021S051259150447,0.078800000000000,"59",-123.052849,49.226032,78761.871,0.000000000000000,0.000000000000000,
121,"59150448",2021S051259150448,0.101400000000000,"59",-123.052589,49.223359,101408.986,0.000000000000000,0.000000000000000,
