GEO_NAME,employed,unemployed,5 to 14 years,african american,all occupations,average total income of household in 2020 ($),between 7 a.m. and 7:59 a.m.,"black, n.o.s.","caucasian (white), n.o.s.",chinese,filipino,government transfers (%),indigenous identity,major repairs needed,median value of dwellings ($),movers,"no certificate, diploma or degree",not in the labour force,one-maintainer household,"postsecondary certificate, diploma or degree",public transit,renter,"south asian, n.o.s.",spending 30% or more of income on shelter costs,total visible minority population,under 5 years,average number of rooms per dwelling,2000 and before,65 years and over
59150371,70.49180327868852,7.2727272727272725,18.8,0.0,97.9,88.05729271736938,14.0,0.0,5.4,19.2,8.5,14.8,0.0,4.7,83.33333333333333,18.6,15.5,12.244897959183673,27.9,62.7,36.8,32.6,0.0,16.3,54.6,8.3,6.6,76.8,11.7
59150373,69.81132075471697,2.803738317757009,4.5,0.0,100.0,87.04861811579585,6.4,0.0,0.0,22.3,7.7,10.2,0.0,0.0,81.23689727463312,10.2,8.4,24.074074074074073,20.9,60.7,8.5,32.6,0.0,18.2,41.5,9.1,6.5,88.5,16.3
59150375,54.285714285714285,5.714285714285714,12.2,0.0,97.8,92.59632842445028,20.5,0.0,0.0,38.1,11.9,21.6,2.4,13.3,83.85744234800839,10.7,22.9,25.71428571428571,46.7,41.4,25.6,43.3,0.0,26.7,63.1,7.3,5.7,86.6,23.4
59150376,51.515151515151516,4.477611940298507,6.9,0.0,100.0,90.17550938067379,37.5,0.0,0.0,17.3,5.3,15.8,5.3,0.0,81.23689727463312,12.0,14.9,42.42424242424242,46.7,65.7,16.7,43.3,0.0,20.0,40.8,0.0,5.9,86.7,30.099999999999998
59150377,57.89473684210527,2.7027027027027026,22.6,0.0,100.0,88.96509985878555,28.6,0.0,0.0,18.3,6.5,12.8,0.0,0.0,85.16771488469601,7.5,12.2,16.216216216216218,47.2,60.8,17.1,33.3,0.0,27.8,38.7,0.0,6.4,80.6,38.9
59150378,66.66666666666666,7.352941176470589,9.4,0.0,100.0,90.94210207786968,35.0,0.0,0.0,21.9,18.1,11.7,0.0,0.0,94.60167714884696,13.0,11.0,30.0,53.6,70.6,18.3,20.3,0.0,14.5,56.8,3.8,4.6,28.999999999999996,17.3
59150379,69.81132075471697,6.363636363636363,15.1,0.0,96.6,87.65382287673997,11.1,0.0,0.0,3.2,15.9,10.0,0.0,4.3,82.54716981132076,10.4,13.6,22.413793103448278,43.5,56.4,31.7,32.6,0.0,19.6,56.3,3.8,5.5,74.0,30.4
59150380,55.55555555555556,5.263157894736842,6.2,0.0,98.8,90.5789792213032,34.5,0.0,0.0,11.7,41.4,16.4,0.0,9.3,85.03668763102725,6.3,13.2,23.52941176470588,46.5,52.6,32.7,48.8,0.0,37.2,74.2,6.2,5.4,90.8,18.7
59150381,65.625,3.10077519379845,17.2,0.0,100.0,89.06596731894291,14.3,0.0,0.0,20.1,10.7,12.6,0.0,0.0,83.85744234800839,15.0,10.1,35.38461538461539,35.3,64.3,21.4,35.3,0.0,23.5,61.1,5.2,5.9,76.5,17.599999999999998
59150382,60.416666666666664,9.0,14.0,0.0,98.6,91.48678636271939,20.4,0.0,0.0,15.3,7.6,19.8,2.5,0.0,83.85744234800839,12.7,15.0,26.923076923076923,42.5,63.0,26.5,42.5,0.0,19.5,55.9,0.0,5.4,85.0,5.0
