DGUID,SoVI,Latitude,Longitude,geometry,area
2021S051259151413,54.91022229,49.264,-123.042,-123.042  49.264,104826.7482
2021S051259151414,53.66371875,49.268,-123.042,-123.042  49.268,134421.605
2021S051259151415,53.12312062,49.268,-123.046,-123.046  49.268,125282.3681
2021S051259151416,45.30409642,49.266,-123.048,-123.048  49.266,78237.78271
2021S051259151417,49.60773297,49.264,-123.047,-123.047  49.264,76234.34487
2021S051259151418,52.84738352,49.262,-123.048,-123.048  49.262,60785.93244
2021S051259151419,52.84255826,49.263,-123.053,-123.053  49.263,75833.1445
2021S051259151420,52.75177564,49.265,-123.052,-123.052  49.265,99894.52094
2021S051259151423,55.53522676,49.262,-123.056,-123.056  49.262,41485.62703
2021S051259151424,46.71550981,49.26,-123.057,-123.057  49.26,106096.3045
2021S051259151425,52.8790194,49.259,-123.053,-123.053  49.259,235299.4448
2021S051259151426,41.31084393,49.258,-123.062,-123.062  49.258,200379.5933
2021S051259151427,43.55306125,49.261,-123.063,-123.063  49.261,116237.8754
2021S051259151428,43.29184868,49.263,-123.064,-123.064  49.263,72399.54927
2021S051259151429,38.14780186,49.266,-123.062,-123.062  49.266,99700.42897
2021S051259151430,35.6944747,49.265,-123.06,-123.06  49.265,68687.83528
2021S051259151432,52.02424467,49.268,-123.052,-123.052  49.268,123097.1444
2021S051259151433,45.30879375,49.27,-123.059,-123.059  49.27,72215.19937
2021S051259151434,38.6705263,49.272,-123.06,-123.06  49.272,86570.58488
2021S051259151435,39.18309867,49.271,-123.064,-123.064  49.271,66189.58172
2021S051259151436,40.31995643,49.269,-123.062,-123.062  49.269,70834.75821
2021S051259151437,32.52409509,49.267,-123.065,-123.065  49.267,56887.65897
2021S051259151438,36.94958393,49.269,-123.068,-123.068  49.269,56236.40123
2021S051259151439,48.88846514,49.26,-123.047,-123.047  49.26,175799.3586
2021S051259151440,46.2873359,49.256,-123.048,-123.048  49.256,70027.65941
2021S051259151441,54.11168082,49.256,-123.046,-123.046  49.256,92858.27458
2021S051259151442,48.25207559,49.257,-123.042,-123.042  49.257,112345.0162
2021S051259151443,54.57118243,49.26,-123.039,-123.039  49.26,399926.4234
2021S051259151444,51.89471571,49.259,-123.028,-123.028  49.259,541375.0531
2021S051259151448,57.2391482,49.252,-123.047,-123.047  49.252,144345.8612
2021S051259151449,50.74146406,49.249,-123.046,-123.046  49.249,77722.52143
2021S051259151450,54.88970587,49.247,-123.044,-123.044  49.247,158733.9188
2021S051259151451,44.95804924,49.246,-123.047,-123.047  49.246,101753.5344
2021S051259151452,50.54616337,49.243,-123.042,-123.042  49.243,87450.21876
2021S051259151453,47.52079886,49.242,-123.044,-123.044  49.242,84772.90747
2021S051259151454,48.41620928,49.24,-123.04,-123.04  49.24,61542.47439
2021S051259151455,53.25903383,49.239,-123.044,-123.044  49.239,78274.65872
2021S051259151456,58.40680641,49.243,-123.048,-123.048  49.243,148741.2078
2021S051259151457,57.72272269,49.238,-123.046,-123.046  49.238,78068.78091
2021S051259151458,49.28446904,49.237,-123.043,-123.043  49.237,69077.76048
2021S051259151459,52.76109537,49.237,-123.04,-123.04  49.237,66219.43081
2021S051259151460,58.28366626,49.236,-123.037,-123.037  49.236,64304.37075
2021S051259151461,55.23073581,49.239,-123.037,-123.037  49.239,64866.92734
2021S051259151463,55.98738521,49.235,-123.032,-123.032  49.235,41532.48112
2021S051259151464,52.19787513,49.234,-123.033,-123.033  49.234,59108.39019
2021S051259151465,56.22636947,49.233,-123.03,-123.03  49.233,50782.97726
2021S051259151467,33.82873951,49.237,-123.029,-123.029  49.237,15037.72069
2021S051259151469,53.47315394,49.231,-123.025,-123.025  49.231,86956.25919
2021S051259151470,45.78776405,49.231,-123.029,-123.029  49.231,78029.42054
2021S051259151471,42.39162305,49.231,-123.033,-123.033  49.231,106220.7496
2021S051259151472,57.78331011,49.232,-123.036,-123.036  49.232,80456.761
2021S051259151473,48.24354311,49.23,-123.037,-123.037  49.23,85643.29951
2021S051259151474,53.95684763,49.229,-123.037,-123.037  49.229,85389.13705
2021S051259151475,55.14409422,49.227,-123.037,-123.037  49.227,113839.8056
