DGUID,Latitude,Longitude,SoVI,geometry,area
2021S051259152942,49.211,-123.036,51.50586911,-123.036  49.211,668149.8827
2021S051259152943,49.215,-123.037,48.87252702,-123.037  49.215,133942.9953
2021S051259152944,49.216,-123.039,49.44835745,-123.039  49.216,80970.59034
2021S051259152945,49.218,-123.036,52.71861552,-123.036  49.218,268134.8244
2021S051259152946,49.22,-123.029,57.03480372,-123.029  49.22,165773.6132
2021S051259153075,49.241,-123.026,50.55050284,-123.026  49.241,90790.96596
2021S051259153076,49.244,-123.025,41.89094783,-123.025  49.244,50164.22526
2021S051259153077,49.243,-123.029,44.65370955,-123.029  49.243,65094.84701
2021S051259153078,49.246,-123.026,54.0457395,-123.026  49.246,102179.2064
2021S051259153079,49.245,-123.031,53.99229321,-123.031  49.245,73465.66954
2021S051259153080,49.247,-123.031,56.90016304,-123.031  49.247,71517.9178
2021S051259153081,49.219,-123.053,49.74514025,-123.053  49.219,74342.43425
2021S051259153082,49.216,-123.053,43.71789707,-123.053  49.216,86144.65212
2021S051259153083,49.214,-123.057,42.79734775,-123.057  49.214,161575.9091
2021S051259153084,49.216,-123.086,54.12837401,-123.086  49.216,122815.75
2021S051259153085,49.218,-123.087,49.93941881,-123.087  49.218,56091.00142
2021S051259153086,49.219,-123.085,58.00535418,-123.085  49.219,63784.11998
2021S051259153087,49.22,-123.088,59.32205707,-123.088  49.22,86704.10332
2021S051259153088,49.221,-123.086,49.66366186,-123.086  49.221,116750.9121
2021S051259153089,49.223,-123.087,51.74167255,-123.087  49.223,84950.93875
2021S051259153090,49.22,-123.093,55.88012789,-123.093  49.22,77750.29927
2021S051259153091,49.218,-123.094,50.5524781,-123.094  49.218,63224.95953
2021S051259153092,49.217,-123.095,59.60983096,-123.095  49.217,58414.3925
2021S051259153093,49.214,-123.097,53.84859032,-123.097  49.214,96119.12611
2021S051259153094,49.215,-123.1,46.40855091,-123.1  49.215,49877.01258
2021S051259153095,49.212,-123.1,53.39439026,-123.1  49.212,75453.40891
2021S051259153096,49.213,-123.104,53.70226875,-123.104  49.213,84005.40891
2021S051259153097,49.209,-123.11,45.84802845,-123.11  49.209,887602.0887
2021S051259153098,49.207,-123.12,45.48942896,-123.12  49.207,171443.4629
2021S051259153123,49.269,-123.156,42.01466254,-123.156  49.269,34254.1794
2021S051259153124,49.27,-123.156,49.98065538,-123.156  49.27,16977.23186
2021S051259153132,49.265,-123.136,47.39050585,-123.136  49.265,120225.6141
2021S051259153133,49.264,-123.131,40.72927862,-123.131  49.264,68776.58585
2021S051259153134,49.263,-123.133,45.35637698,-123.133  49.263,35934.1276
2021S051259153135,49.262,-123.13,42.21068857,-123.13  49.262,54294.04091
2021S051259153136,49.262,-123.128,45.34463925,-123.128  49.262,53949.43708
2021S051259153137,49.261,-123.134,41.53110434,-123.134  49.261,34673.59175
2021S051259153138,49.263,-123.136,40.71489835,-123.136  49.263,55592.39508
2021S051259153139,49.262,-123.137,44.26807601,-123.137  49.262,36044.44083
2021S051259153140,49.262,-123.14,42.37633037,-123.14  49.262,75956.78018
2021S051259153144,49.265,-123.122,36.27383235,-123.122  49.265,43184.77158
2021S051259153151,49.262,-123.112,41.78561622,-123.112  49.262,109309.3798
2021S051259153152,49.262,-123.118,40.28373456,-123.118  49.262,133007.6628
2021S051259153153,49.259,-123.117,47.652093,-123.117  49.259,49193.92015
2021S051259153154,49.258,-123.118,44.47986734,-123.118  49.258,75463.10919
2021S051259153155,49.259,-123.113,38.25418723,-123.113  49.259,79137.65843
2021S051259153156,49.259,-123.108,36.91357334,-123.108  49.259,41139.12061
2021S051259153157,49.26,-123.107,36.49616083,-123.107  49.26,66550.88247
2021S051259153158,49.262,-123.108,41.2473931,-123.108  49.262,80749.51999
2021S051259153159,49.262,-123.103,41.42913674,-123.103  49.262,73761.39313
2021S051259153160,49.26,-123.103,44.194806,-123.103  49.26,72056.71317
2021S051259153161,49.258,-123.104,37.72311168,-123.104  49.258,42495.08906
2021S051259153162,49.257,-123.103,44.55237711,-123.103  49.257,29595.07474
2021S051259153163,49.264,-123.103,43.67196095,-123.103  49.264,81884.50959
2021S051259153164,49.267,-123.099,46.79877652,-123.099  49.267,99179.64092
2021S051259153165,49.265,-123.097,48.49471977,-123.097  49.265,32679.43535
2021S051259153166,49.256,-123.118,41.62140781,-123.118  49.256,110521.6725
2021S051259153167,49.253,-123.122,34.47490945,-123.122  49.253,169487.9555
2021S051259153168,49.274,-123.101,48.22123558,-123.101  49.274,29879.83799
2021S051259153171,49.278,-123.136,43.45681632,-123.136  49.278,67481.43583
2021S051259153172,49.277,-123.134,40.67537836,-123.134  49.277,20725.27361
2021S051259153181,49.285,-123.088,55.19852743,-123.088  49.285,819283.6934
2021S051259153182,49.282,-123.092,81.56612032,-123.092  49.282,14930.34761
2021S051259153183,49.282,-123.089,53.36110626,-123.089  49.282,78552.10252
2021S051259153184,49.28,-123.091,67.0701179,-123.091  49.28,77077.41174
2021S051259153185,49.28,-123.086,49.30452135,-123.086  49.28,52572.28698
2021S051259153186,49.279,-123.088,43.61532391,-123.088  49.279,69590.65295
2021S051259153187,49.279,-123.084,97.35244034,-123.084  49.279,56328.84422
2021S051259153188,49.275,-123.084,73.2631458,-123.084  49.275,162855.1788
2021S051259153189,49.279,-123.08,46.82074698,-123.08  49.279,223785.3844
2021S051259153190,49.279,-123.074,54.47212301,-123.074  49.279,200991.6832
2021S051259153191,49.278,-123.071,42.69566831,-123.071  49.278,56371.30212
2021S051259153192,49.278,-123.069,61.63256174,-123.069  49.278,30220.10038
2021S051259153193,49.277,-123.067,53.24671922,-123.067  49.277,49004.52744
2021S051259153194,49.279,-123.067,46.50420103,-123.067  49.279,19893.0504
2021S051259153195,49.28,-123.067,45.59314607,-123.067  49.28,20308.2257
2021S051259153196,49.28,-123.069,65.42025997,-123.069  49.28,32195.99658
2021S051259153197,49.285,-123.072,72.42212024,-123.072  49.285,719766.3972
2021S051259153198,49.284,-123.063,45.42770532,-123.063  49.284,70447.08819
2021S051259153199,49.283,-123.062,52.38718093,-123.062  49.283,28613.87711
2021S051259153200,49.281,-123.063,45.98548673,-123.063  49.281,129037.9271
2021S051259153201,49.282,-123.058,53.15516727,-123.058  49.282,61807.44668
2021S051259153202,49.284,-123.06,50.92581499,-123.06  49.284,27814.96444
