Under 5 years,5 to 14 years,65 years and over,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",No high school diploma or equivalency certificate,Renter,One-maintainer household,Between 7 a.m. and 7:59 a.m.,African American,"South Asian, n.o.s.","Black, n.o.s.",Chinese,Filipino,Total visible minority population,First Nations (North American Indian),Average total income of household in 2020 ($),Spending 30% or more of income on shelter costs only,Median value of dwellings ($),Unemployed,Female employed,Male not in the labour force,All industries,2000 or before,Public transit,Movers,Average number of rooms per dwelling,Major repairs needed,Fountains
8.3,18.8,11.7,10.5,37.3,15.5,32.6,27.9,14,0,0,0,19.2,8.5,54.6,0,88.1,11.6,83.3,6.8,36.4,5.1,97.9,76.8,36.8,18.6,6.6,4.7,0.0
9.1,4.5,16.3,0,39.3,9.3,32.6,20.9,6.4,0,0,0,22.3,7.7,41.5,0,87.0,15.9,81.2,2.5,31.4,11.0,100,88.5,8.5,10.2,6.5,0,0.0
7.3,12.2,23.4,14.9,58.6,24.3,43.3,46.7,20.5,0,0,0,38.1,11.9,63.1,0,92.6,20,83.9,3.4,16.1,7.6,97.8,86.6,25.6,10.7,5.7,13.3,0.0
0,6.9,30.1,4.1,34.3,13.6,43.3,46.7,37.5,0,0,0,17.3,5.3,40.8,2.6,90.2,23.3,81.2,2.5,14.4,11.9,100,86.7,16.7,12,5.9,0,0.0
0,22.6,38.9,0,39.2,10.8,33.3,47.2,28.6,0,0,0,18.3,6.5,38.7,0,89.0,27.8,85.2,1.7,18.6,5.1,100,80.6,17.1,7.5,6.4,0,0.0
3.8,9.4,17.3,3.1,29.4,12.5,20.3,53.6,35,0,0,0,21.9,18.1,56.8,0,90.9,13,94.6,8.5,42.4,15.3,100,29,18.3,13,4.6,0,0.0
3.8,15.1,30.4,0,43.6,15.5,32.6,43.5,11.1,0,0,0,3.2,15.9,56.3,0,87.7,17.4,82.5,5.9,31.4,11.0,96.6,74,31.7,10.4,5.5,4.3,0.0
6.2,6.2,18.7,3.8,47.4,14.2,48.8,46.5,34.5,0,0,0,11.7,41.4,74.2,0,90.6,30.2,85.0,5.1,29.7,10.2,98.8,90.8,32.7,6.3,5.4,9.3,0.0
5.2,17.2,17.6,7.4,35.7,9.3,35.3,35.3,14.3,0,0,0,20.1,10.7,61.1,0,89.1,23.5,83.9,3.4,35.6,19.5,100,76.5,21.4,15,5.9,0,0.0
0,14,5,5.3,37,14,42.5,42.5,20.4,0,0,0,15.3,7.6,55.9,0,91.5,15,83.9,7.6,24.6,11.9,98.6,85,26.5,12.7,5.4,0,0.0
6.3,21.9,7.7,3.2,45.3,10.6,53.8,51.3,26.2,0,0,0,19.5,16.1,54.2,0,91.4,33.3,83.3,7.6,30.5,10.2,93,59,21.4,18.8,5.5,7.7,4.2
8.3,14.6,21,0,31.6,14.6,53.5,44.2,29.5,0,0,0,18.5,15.7,50.9,0,91.2,32.6,82.5,5.1,22.9,16.9,98.4,51.3,18.2,17,5,0,0.0
0,16.1,30,5.1,52.7,16.5,30,52.5,35.9,0,0,0,31.8,8.4,77.8,0,91.7,30,81.2,3.4,16.1,14.4,98.1,70,15.4,11.4,6,7.5,0.0
0,11.9,31.5,10.2,41.5,19.5,37.1,37.1,20.6,0,0,0,18.2,15.2,65.3,0,93.1,28.6,81.2,5.1,19.5,12.7,94.1,65.7,23.5,19.4,5.6,5.7,0.0
6.5,17.7,21.1,8.9,42.9,17.8,55.3,44.7,18.4,0,0,0,23.9,23.9,84.4,0,92.1,18.4,85.2,3.4,29.7,10.2,98.5,71,57.1,16.7,5.3,5.3,0.0
2.4,7.1,30,11,51.4,18.1,43.3,48.3,19.2,0,0,0,25.3,18.7,66.9,2.4,92.0,22,85.0,7.6,38.1,17.8,99,61.7,30.1,13.9,5.4,5,8.3
3.8,12.8,28.4,11,45.6,20.6,39.6,39.6,18.7,0,0,0,27.6,21.2,82.6,0,93.4,29.6,85.0,5.1,39.0,20.3,96.7,67.8,36,17.6,5.4,0,0.0
4.8,14.5,25,15.5,44.9,20.3,43.2,45.5,23.9,0,0,0,32.3,6.5,76.8,0,89.9,25,81.2,9.3,28.0,12.7,100,68.1,17.4,11.3,6.2,6.8,0.0
8.7,17.4,13.2,25,65.4,28.2,86.8,60.5,20.8,0,0,0,15.8,7.9,70.3,0,96.2,5.3,84.2,6.8,11.0,14.4,96.9,97.4,41.7,11,4.3,5.3,0.0
6.3,15.9,20.6,19.6,57.3,30.5,24.1,41.4,10.8,0,0,0,56.7,14.4,95.9,0,90.6,21.4,83.9,0.0,19.5,17.8,97.7,79.3,21.6,9.3,5.8,13.8,0.0
9.1,15.2,25.6,9.1,40.2,21.6,41,30.8,16.4,0,0,0,33.6,6.7,88.7,0,90.1,17.9,78.6,6.8,33.9,8.5,96.7,64.1,31.1,19.1,7.1,0,0.0
5.3,7.9,35.9,20,56.9,25.7,48.7,41,30,0,0,0,62.6,12.1,96.3,0,93.4,15.4,85.0,5.1,22.9,16.1,100,74.3,35,7.5,5.6,0,0.0
5.7,11.5,26.5,16,56.7,31.5,40.8,49,26.5,0,0,0,62.6,13.7,92.8,0,93.9,18.4,84.5,7.6,30.5,23.7,97.2,73.4,30.6,5.1,5.5,0,0.0
3,9.1,68.4,21.3,62.9,40,70.2,61.4,7.4,0,0,0,43.5,5.2,75.7,2.6,97.3,25,82.3,1.7,15.3,23.7,97.2,80.7,59.3,15.7,4,8.8,4.2
6,10,37.9,25,59.5,32.4,34.5,41.4,11.8,0,0,0,60.7,3.6,89.3,0,93.0,20.7,81.2,1.7,16.1,10.2,100,65.5,5.9,6.1,5.7,6.9,0.0
10.2,10.2,13.3,10.9,54.2,12.3,36.7,30,21.6,0,0,0,54.7,14,84.9,0,90.2,26.7,82.5,3.4,22.0,10.2,94,63.4,27,17.4,7,6.7,0.0
3.7,14.8,29,10.7,52.9,17.6,47.4,50,20.4,0,0,0,33,26.6,86.3,0,95.0,31.6,87.8,5.9,22.0,9.3,100,68.5,28.6,21.5,4.8,5.3,0.0
