Under 5 years,5 to 14 years,65 years and over,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",No high school diploma or equivalency certificate,Renter,One-maintainer household,Between 7 a.m. and 7:59 a.m.,African American,"South Asian, n.o.s.","Black, n.o.s.",Chinese,Filipino,Total visible minority population,First Nations (North American Indian),Average total income of household in 2020 ($),Spending 30% or more of income on shelter costs only,Median value of dwellings ($),Unemployed,Female employed,Male not in the labour force,All industries,2000 or before,Public transit,Movers,Average number of rooms per dwelling,Major repairs needed,Fountains
20,20,25.6,8.8,29.9,11.4,62.8,48.8,25,0,0,0,5.4,0,28,0,91.3,23.3,83.9,5.1,26.3,4.2,95.8,93.1,16.7,19.4,5.1,7,0.0
12.8,21.3,25.7,3.9,23.4,4.8,48.5,51.5,22.7,0,0,0,20.8,2.1,33.6,0,92.5,32.3,93.0,6.8,33.1,9.3,96.4,66.6,20.5,20.8,4.7,4.5,0.0
10.7,17.9,26.8,0,15.6,2.6,41.5,51.2,18.5,0,0,0,14,3.5,23.3,0,80.7,24.4,82.5,1.7,19.5,10.2,100,85.4,33.3,16.5,5,0,0.0
15.8,7.9,13,5.3,26.3,9.6,76.6,57.1,12.7,0,0,0,9.4,0,29.4,0,91.4,37.7,82.5,5.9,36.4,11.9,99,89.7,29.1,29.9,3.8,5.2,0.0
8.8,8.8,13,0,21.8,4.9,70.4,55.6,21.4,0,0,0,15.8,0,32.7,0,93.9,36.4,82.3,4.2,33.1,8.5,98.8,92.5,19,22.3,4.1,13,4.2
8.1,18.9,38.5,0,28.1,4.4,67.5,72.3,30.2,0,0,0,4.2,0,18.8,0,95.2,36.6,91.7,5.1,32.2,8.5,98.6,98.7,20.9,9.5,3.4,7.2,0.0
5.4,16.2,41.8,6.5,39.8,8.5,27.9,60.5,35,0,0,0,25.6,0,36.7,0,86.5,27.9,65.3,5.9,13.6,15.3,97.6,81.4,10,7.8,5.2,4.7,0.0
7,14,25,2.3,20.3,8.1,58.3,55.6,28.6,0,0,0,4.9,0,14.1,0,90.2,27.8,85.0,1.7,33.1,12.7,100,90.3,19.6,21.6,4.3,5.6,0.0
0,33.3,20.5,0,25.6,8.5,56.4,46.2,28.2,0,0,0,0,0,12.1,0,76.9,20.5,68.4,2.5,24.6,7.6,100,92.3,12.8,18.9,5.6,10.3,0.0
0,0,36.1,0,15.6,7.8,47.2,47.2,22.7,0,0,0,2.7,0,9.6,0,83.7,22.2,78.6,2.5,20.3,8.5,100,94.5,9.1,9.9,5.2,5.6,0.0
6.3,12.5,18.5,0,18.7,4.5,55.4,56.9,11.6,0,0,0,11.8,0,31.1,0,88.2,30.8,78.6,4.2,36.4,10.2,100,83.1,25.6,24.2,4.6,7.7,0.0
10,15,24.4,3.4,19.3,6.1,42.2,53.3,21.4,0,0,0,5.3,2.1,10.6,0,88.4,15.6,78.6,3.4,26.3,7.6,100,97.8,16.7,20.2,4.9,11.1,0.0
10.9,6.5,21.5,0,20.6,6.1,44.6,47.7,20.5,0,0,0,13.5,0,20.3,0,88.1,32.3,85.6,10.2,37.3,14.4,97.9,92.3,17.9,18.2,4.9,0,0.0
10.9,13,18.8,1.9,21.7,3.3,51.1,57.8,30.8,0,1.2,0,8.4,1.2,22.9,1.2,91.7,28.9,89.2,5.1,52.5,16.1,98.2,92.2,23.1,21.7,4.4,5.6,0.0
8.3,22.2,21,2.7,17.3,5.8,45.6,57.9,23.3,1.7,0,0,6,0,22,0,88.6,21.1,89.1,2.5,31.4,12.7,98.7,91.3,25.6,23.3,4.3,0,0.0
0,24.2,16.7,0,17.6,3.5,58.3,45.8,26.7,0,0,0,4.8,3.8,20.2,0,88.3,22.9,81.2,4.2,25.4,5.1,97.1,62.5,24.4,21.4,4.8,0,0.0
6.7,16.7,15.6,2.4,28.3,3.5,48.4,53.1,38.9,0,0,0,7.4,0,16.5,0,91.9,19,93.0,9.3,37.3,5.1,98.9,87.5,33.3,29.2,4.1,9.4,0.0
18.8,18.8,14.5,0,17.6,3.4,59.7,43.5,17,0,0,0,3.5,5.6,20.3,0,88.5,24.6,78.6,7.6,38.1,8.5,100,85.5,17,30.2,5.2,9.7,4.2
12.9,12.9,26.1,2.7,19.8,5.4,61.5,58.5,31.6,0,0,0,11,0,25.2,0,91.6,33.8,78.6,8.5,28.8,11.9,93.5,70.8,23.7,16.8,4.3,4.6,0.0
17.8,26.7,12.3,0,19.3,4.2,49.2,49.2,16.3,0,0,0,14.4,0,31.5,0,88.6,23.1,89.1,3.4,33.9,12.7,100,73.8,11.6,31,4.3,0,0.0
10.5,13.2,15.4,4.4,23.9,6.2,52.3,58.5,12.7,0,0,0,7.6,0,23.7,1.5,89.4,26.6,87.0,5.1,35.6,6.8,100,86.2,21.8,15.4,4.7,7.7,0.0
0,12.5,26.4,0,23.6,8,64.2,56.6,29,0,0,0,0,1.9,20.8,1.9,90.8,34,79.9,4.2,25.4,7.6,98.4,77.3,29,19,4.4,11.3,0.0
12.5,12.5,5.8,4.2,26.3,5.3,82.4,58.8,34,0,0,0,4,0,18.3,4,93.1,19.1,91.7,5.1,38.1,4.2,98.9,91.2,17,26,3.2,16.2,0.0
0,9.1,15.1,3.9,21.8,7.9,71.2,59.1,14.7,0,0,0,5.9,2,19.6,0,91.1,28.8,94.3,4.2,28.0,5.1,98.7,93.9,8.8,13.7,3.3,6.1,0.0
0,20,14,4.7,15.7,6.7,73.1,67.7,29,0,0,0,5.5,1.4,16.6,0,94.7,31.2,96.6,3.4,44.9,11.0,99,96.7,21,23.1,3.2,14,0.0
8.7,28.3,20.6,0,22.5,10.7,66.2,58.8,31.7,0,0,0,7.8,0,21.7,0,90.9,30.9,90.4,6.8,36.4,11.0,96.6,77.9,12.2,13.5,4.2,11.8,0.0
13.9,11.1,43.1,3.4,27.8,11.5,75.4,72.3,34.4,0,0,0,2.9,0,16.7,3.9,96.0,30.8,96.6,2.5,24.6,15.3,98.2,100.1,31.3,16.7,3.6,12.3,0.0
12.5,8.3,32.4,0,22.6,5.3,69.2,67.7,30.8,0,0,0,2.1,0,17.5,2.1,93.4,27.7,96.7,6.8,28.8,5.9,95.7,96.9,23.1,19.8,3,10.8,0.0
13,8.7,13.6,0,17.3,0,76.3,66.1,21.1,0,0,0,0,0,16.7,0,93.0,22,95.6,5.9,27.1,5.1,100,96.6,26.3,26.2,3.2,10.2,0.0
0,24,8.8,2.4,16.5,1.9,72.1,57.4,28.9,0,0,0,6.3,0,15.3,2.7,93.3,29.4,93.8,5.1,37.3,5.9,100,92.5,18.4,26.6,3.4,5.9,4.2
6.9,10.3,16.9,0,20.5,2.7,80.5,66.2,13.8,0,0,0,1.7,0,12.7,0,93.1,28.6,97.0,6.8,38.1,4.2,96.9,92.2,19,19.1,3.2,9.1,0.0
0,14.6,12.2,0,20.2,4.6,78.4,62.2,25.5,0,0,0,7.6,5.9,25.6,0,90.7,31.5,86.7,3.4,38.1,5.9,97.7,90.5,17,27.1,3.3,5.4,0.0
6.3,15.6,19.2,0,17.9,1.9,68.5,65.8,20.4,0,0,0,5.3,0,19.5,0,94.2,28.8,93.0,8.5,33.9,5.1,96.4,97.2,22.4,17.1,3.5,17.8,0.0
14.3,20,12.9,0,21.4,8.7,41.9,61.3,22.2,0,0,0,15.7,2.5,27.9,0,90.9,29,92.4,2.5,33.1,9.3,100,96.8,5.6,30.6,4.2,12.9,4.2
10,12.5,13.9,1.8,28.6,4.3,59.6,72.3,32.6,0,0,0,8.7,2.7,24.8,0,91.3,34,94.3,8.5,39.8,10.2,96.2,76.6,19.6,23,3.5,6.4,0.0
6.5,19.4,14.4,3.3,23.2,5.4,67.1,65.8,23.5,0,0,0,8.5,2.5,18.6,1.7,94.7,35.5,95.6,6.8,38.1,7.6,100,97.4,17.6,22.2,3.1,6.6,0.0
8.1,13.5,20,4.4,18.5,4.2,58.8,60,30.2,0,0,0,10.9,2.3,25.8,1.6,93.1,33.8,93.7,5.9,36.4,5.9,98.9,93.9,22.6,21.9,3.6,6.3,0.0
0,11.8,7.3,0,16.5,4.9,73.5,60.3,22.5,0,0,0,1.9,0,16,0,94.3,29.4,95.7,8.5,32.2,4.2,98.9,97.1,22.5,25.5,3.3,5.9,0.0
4.7,9.3,16.4,0,16.7,5.3,49.3,63,20.8,0,0,0,10.2,0,31.3,0,93.4,30.1,96.3,3.4,33.9,10.2,100,101.3,11.3,19.8,3.5,15.1,0.0
12.1,9.1,17.3,3.4,20,4.5,82.7,69.1,18.4,0,0,0,4.5,0,17.9,3.6,94.8,30.9,91.7,5.1,32.2,8.5,98.9,94.9,28.6,16.1,3.2,8.6,0.0
5.6,13.9,39.4,2.9,23.9,3.7,63.4,56.3,21.7,0,0,0,6.6,4.1,19.5,1.6,90.0,42.3,81.2,4.2,29.7,13.6,97.3,83.2,15.2,29.2,4.1,5.6,0.0
14.7,23.5,21.9,0,22.2,1.6,85.4,57.3,35.8,0,0,0,5.3,0,18.3,0,93.1,42.7,83.9,5.1,45.8,11.0,97.9,98.7,22.6,25,3.9,9.8,0.0
17.9,21.4,25.4,0,20,4,23.9,67.2,42.1,0,0,0,7.1,0,16.8,0,91.4,19.4,96.3,2.5,36.4,9.3,100,80.6,7.9,11.8,3.5,6,0.0
0,10.3,19.6,0,17.4,2.9,100,74.5,29.2,0,0,0,4,0,28.9,0,95.6,38.5,84.2,5.9,22.0,5.9,100,100,16.7,16.4,2.8,0,0.0
20.6,14.7,10.8,0,26.7,4.2,88,66.3,19.7,0,0,0,6.4,4,24,0,94.7,34.1,92.4,7.6,43.2,3.4,97.1,90.3,18,24.2,3.4,7.2,0.0
26.7,15.6,10.6,1.9,22.2,2.2,88.2,61.2,24.2,0,0,0,6.3,2.1,34.5,1.4,93.5,32.9,95.6,5.9,55.1,2.5,98.4,98.8,25.8,31.5,3.2,8.2,0.0
16.7,10,22.5,2.5,24.3,10.3,73.2,60.6,33.3,0,0,0,12.9,0,36.2,0,93.2,25.4,94.3,4.2,29.7,7.6,96.1,98.7,20.4,17.2,3.4,19.7,0.0
12.5,12.5,21.3,2.5,20.4,5.6,71.3,71.3,17,0,0,0,15,4.4,27.2,0,94.6,26.6,94.3,6.8,39.0,6.8,100,98.8,21.3,22.1,3,17.5,0.0
8.3,25,20.4,0,29.1,6.3,67.3,63.3,37.9,0,0,0,7.8,2.2,24.4,0,92.7,28.6,86.5,0.0,23.7,8.5,100,75.5,13.8,24.7,4,10.2,0.0
9.1,21.2,12.9,0,16.7,2.5,88.2,63.5,33.9,0,0,0,12.4,0,33.1,2.5,94.4,28.2,97.0,4.2,45.8,5.1,100,91.7,20.3,25.6,3,3.5,0.0
21.4,14.3,12.9,2.6,17,5,45.2,62.9,34.8,0,0,0,5.7,0,26.4,0,91.4,25.8,93.7,2.5,36.4,10.2,100,88.7,8.7,25,4,0,0.0
0,0,10.3,0,27,0,86.2,69,33.3,0,0,0,0,7.9,26.3,0,90.6,31,84.2,1.7,12.7,1.7,100,99.9,11.1,26.3,3,13.8,0.0
7.8,21.6,17.3,0,13.3,3.3,58.7,61.3,30,0,0,0,18.1,3.1,48.4,0,90.2,22.7,92.4,5.1,39.8,9.3,97.8,50.7,8,18.9,3.7,4,4.2
4.9,12.2,28,3.4,18.3,7.3,22,58,21.4,0,0,0,8.2,2.1,32,0,89.7,22,94.3,6.8,22.0,5.1,96.7,94,14.3,12.8,4,8,0.0
7.1,17.9,14.7,3.8,22.5,8.5,46.3,58.5,16.2,0,0,0,26.4,17.2,53.4,0,87.8,31.7,93.7,3.4,22.9,4.2,98.1,56.1,24.3,51.7,3.8,7.3,4.2
11.1,24.1,10.6,0,22.2,7.7,43.9,54.5,20.4,0,0,0,18.1,6.3,47.9,0,91.3,19.7,94.1,5.1,42.4,4.2,99,95.5,24.1,15.4,4.2,7.6,0.0
15.2,18.2,9.4,0,26.3,8.1,49.1,60.4,30.6,0,0,0,21.2,6.7,41.7,0,92.4,25.9,93.7,4.2,33.1,5.1,98.8,92.6,21,28.8,4.3,7.5,0.0
5.6,0,21.1,0,21.1,5.2,54.4,56.1,23.4,0,0,0,15.5,3.6,30.9,0,92.0,28.1,94.6,4.2,29.7,8.5,98.6,82.5,21.3,20.4,4.2,10.5,0.0
14.8,11.1,16.6,0,20.5,11.9,52.4,64.3,28.6,0,0,0,32.3,0,42.4,5.1,91.9,27.9,85.2,5.1,24.6,10.2,98.2,88.1,21.4,19.4,5.1,11.9,0.0
9.4,15.6,12,3.2,22,4.9,80,66,20,0,0,0,18.2,3.4,37.9,2.3,94.1,30,86.5,8.5,27.1,6.8,96.9,88,13.3,26.1,4.1,12,0.0
3.7,13,47.7,0,23.7,5.1,18.2,56.8,17.6,0,0,0,53.3,0,65.7,0,46.0,30.2,39.3,5.1,19.5,11.9,92.5,84,20.6,12.1,7.4,18.2,0.0
15.6,22.2,24.1,0,15.7,4.3,29.3,39.7,27.3,0,0,0,15.3,6.1,31.8,0,83.3,13.8,79.9,5.1,33.9,10.2,100,77.5,15.9,19.8,5.7,6.9,0.0
9.7,16.1,23.6,6.5,27.1,8.5,47.1,41.2,21.2,0,0,0,41.2,0,66.4,3.1,78.1,23.5,61.3,6.8,28.0,11.9,98.7,84.3,15.2,24.4,5.9,9.8,0.0
13.7,19.6,13.3,0,33.7,9.6,23.3,40,15.6,0,0,0,45.9,0,77.6,0,82.7,41.4,22.5,2.5,20.3,13.6,95.8,80,15.6,14.1,8.7,10,0.0
7.4,18.5,50.1,0,24.7,4.7,9.4,31.3,9.1,0,0,0,43.1,4.9,64.7,0,81.5,43.8,39.3,3.4,13.6,14.4,97.3,81.3,13.6,0,8.9,0,0.0
10.3,17.9,48.1,0,30.7,10.7,14.8,48.1,12,0,0,0,36.8,0,65.9,0,76.3,33.3,39.3,2.5,14.4,11.0,97.7,81.5,12,5.7,9.6,0,0.0
5.3,26.3,50,0,33.3,13,17.9,39.3,40,0,0,0,46.7,2.7,69.3,0,77.5,42.9,29.4,2.5,11.9,11.9,100,78.6,0,9.2,8.9,0,0.0
14.6,16.7,25,0,32,7.2,16.7,41.7,23.3,0,0,0,33.1,0,62.2,0,74.8,30.6,39.3,3.4,22.9,13.6,100,83.3,13.3,12,8.9,5.6,0.0
8.3,30.6,31.3,0,34.2,7.8,6.3,59.4,22.2,0,0,0,44,2.4,56,0,73.0,18.8,52.4,3.4,11.0,16.9,94.7,78.2,0,4.8,9.1,0,0.0
5.5,20,25.9,0,32.5,8.6,18.5,44.4,0,0,0,0,46.9,2.1,61.1,0,2.0,40.7,7.2,0.0,18.6,15.3,100,81.5,17.9,14.6,10.1,0,0.0
4,28,20.7,0,29.3,6.7,24.1,41.4,13.8,0,0,0,42.4,3.5,69.8,0,84.3,27.6,39.3,1.7,15.3,8.5,97.9,75.8,20.7,10.6,9.1,6.9,0.0
7.8,13.7,68.9,0,26.4,7.7,11.1,55.6,11.5,0,0,0,37.9,0,51,0,78.1,28.9,78.6,4.2,15.3,20.3,100,95.5,11.5,18.6,6.3,0,8.3
0,10.5,26.1,0,25.5,10.6,73.9,43.5,23.5,0,0,0,10.9,9.1,50.9,0,91.2,26.1,72.1,2.5,12.7,5.9,96.8,78.3,29.4,30.2,5.4,8.7,0.0
6.5,10.9,27.3,0,28.2,7.1,18.2,39.4,8.3,0,0,0,45.1,0,66.7,0,80.7,39.4,50.8,4.2,16.9,11.9,98,75.8,0,16.7,8,6.1,0.0
0,13,35,0,33.3,7.1,35,60,25,0,0,0,36.2,0,73.9,0,90.6,25,65.3,2.5,7.6,3.4,93.8,70,10,15.2,6.1,15,0.0
7.5,31.3,22.6,0,21.6,3,38.7,53.3,27.4,0,0,0,36.9,0,69.5,1.1,87.8,22.7,88.4,5.9,38.1,18.6,97.2,29.3,25.8,16.9,5.1,8,4.2
14.1,22.5,15.2,2.6,24,6.4,40.2,59.8,17.9,0,0,0,28.4,0,51.6,1.6,91.1,39.1,85.8,7.6,44.9,17.8,98.2,29.4,22.4,29,4.5,4.3,0.0
7.7,25.6,17.3,3.9,23.8,5,23.9,41.3,17.1,0,0,0,30.1,9.8,50.4,0,83.5,30.4,67.6,2.5,29.7,10.2,98.6,63,11.4,18.2,6.8,6.5,0.0
9.7,9.7,18,0,29.4,5.5,73.8,50.8,28.6,0,0,0,9.4,0,28.1,0,93.0,27.9,72.1,5.1,28.8,10.2,100,93.5,30.6,15.2,4.5,8.2,0.0
0,20,17.3,0,18.2,5.1,74.1,55.2,26.9,0,3.6,0,18.2,0,31.8,1.8,89.4,35.6,72.1,2.5,33.1,5.1,100,82.8,25,23.9,4.7,3.4,0.0
13.2,23.7,15.9,0,15.3,5.1,36.4,38.6,35.9,0,0,0,22,3.4,45.8,0,82.7,15.9,69.4,3.4,29.7,7.6,98.7,65.9,25.6,23.3,6.4,0,0.0
6.1,18.2,18.9,0,29.6,11.9,47.2,52.8,14.6,0,0,0,25.8,2.4,40.7,1.6,88.9,24.5,72.1,5.1,34.7,15.3,100,84.9,8.3,18.7,5.4,3.8,0.0
0,13.8,26.4,0,24.6,10,65.8,52.6,20.7,0,0,0,18.1,0,28.9,0,91.6,18.4,72.1,5.1,17.8,8.5,100,89.5,34.5,13.3,4.7,15.8,0.0
18.2,15.2,18.8,0,18.1,6.3,37.7,40.6,18.4,0,0,0,10.4,0,27.7,0,86.6,17.4,86.6,5.1,41.5,10.2,100,78.2,14.3,15.6,5,5.8,4.2
8.3,16.7,20.5,5.2,26.5,10.7,43.6,28.2,25.7,0,0,0,17.3,2.9,33.7,0,87.4,20,81.2,5.9,24.6,8.5,98.3,79.5,11.4,22.1,5.8,0,0.0
14.3,25,15.9,2.1,23.5,6.7,57.1,55.6,30.9,0,0,0,11,0,26.9,0,87.4,19,72.1,3.4,35.6,5.9,98.9,84,9.1,11.7,5.4,7.9,0.0
13.3,20,14.3,7.8,31,17.4,45.2,57.1,27.9,0,0,0,13,3.7,22.2,0,82.7,26.2,72.1,4.2,22.0,7.6,96.7,76.1,16.3,18.7,6.7,0,0.0
5.7,11.4,20.3,0,17.2,4.3,45.3,46.9,23.4,0,0,0,14,5.1,31.1,0,87.9,21.9,85.2,2.5,39.0,9.3,100,61,6.4,13.5,4.5,3.1,0.0
4.3,10.6,18.8,0,33.3,6.8,43.5,34.8,27,0,3.2,0,21.1,5.3,38.7,0,84.4,25.7,78.6,5.1,42.4,23.7,98.1,86.9,14.9,12.3,5.8,11.6,0.0
0,11.8,9.1,4.3,20.7,8.6,51.5,48.5,14.3,0,0,0,10,0,23.9,2.8,89.7,30.3,83.9,5.9,16.9,3.4,97.8,66.8,14.3,24.6,4.6,12.1,0.0
8.3,8.3,22.5,3.9,28.6,5.7,55,47.5,16.1,0,0,0,18.7,9.3,50.7,0,91.4,30,82.5,2.5,20.3,5.9,100,82.5,22.6,21.6,4.4,0,0.0
6.7,10,22.7,3,33.3,16.2,38.6,38.6,20.8,0,0,0,20.7,9.5,38.8,0,86.7,15.9,85.0,4.2,36.4,10.2,100,86.4,20.8,14.9,5.9,11.4,4.2
14.3,20,29.5,0,35.6,12.5,47.1,47.1,11.1,0,0,0,19.3,12.5,43.2,0,88.4,32.4,78.6,2.5,24.6,7.6,100,85.3,29.6,18.2,5.5,5.9,0.0
18.2,13.6,17.7,0,33.3,7.8,52.9,39.2,26.3,0,0,0,11.2,5.2,29.3,6,88.2,31.4,78.6,5.9,30.5,14.4,100,54.8,26.3,16.5,5.1,0,0.0
9.1,9.1,20,3.1,31.5,17.6,48.9,44.4,20,0,0,0,13.9,11.9,55,0,93.0,20,84.9,2.5,24.6,12.7,100,64.5,20,8.1,4.3,6.7,0.0
10.3,20.7,11.1,0,20.4,2.2,24.4,31.1,29.5,0,0,0,9.5,0,26.1,0,86.8,28.9,81.2,3.4,35.6,5.9,100,60,9.1,20.9,5.7,4.4,0.0
10,15,30.3,4.3,31.3,17.9,24.2,45.5,25,0,0,0,28.8,7.5,46.9,0,89.2,12.1,79.9,3.4,19.5,8.5,97.9,87.9,12.5,3.8,6.2,9.1,0.0
0,10.3,21.3,3.6,30.4,7.6,33.3,39.4,19.5,0,0,0,10.8,18.3,37.6,0,83.7,8.8,79.9,0.0,27.1,7.6,100,66.7,19.5,8.6,5.8,0,0.0
8.7,17.4,20.5,3.1,27.5,14.3,31.8,45.5,22.6,0,0,0,7.4,1.9,16.7,0,84.5,18.2,78.6,1.7,24.6,11.0,100,75,9.7,6.5,5.6,6.8,0.0
0,11.6,44.4,7.1,39.6,16.7,52.8,38.9,28.1,0,0,0,12.1,15,63.6,0,92.5,25,78.6,4.2,22.9,18.6,100,69.4,31.3,21.3,5.7,5.6,0.0
6.6,21.3,27.4,9.5,42.2,22.9,39.2,60.8,16.3,0,0,0,19.2,15.4,65.4,0,90.3,29.4,78.6,6.8,27.1,13.6,97.3,82.4,27.9,13.2,4.8,9.8,0.0
3.6,12.5,26.7,9,44.4,22.2,28.9,40,26.8,0,0,0,20.3,15.2,53.6,0,85.9,17.8,78.6,5.9,25.4,15.3,97.2,68.9,19.5,10.9,6.4,0,0.0
4.5,18.2,39.4,0,32.9,15.9,36.4,45.5,26.2,0,0,0,22.9,19.8,61.5,0,87.1,23.5,81.8,2.5,26.3,12.7,96.4,90.9,47.6,27.4,6,6.1,0.0
8.8,11.8,34.3,0,35.2,10,34.3,42.9,12.5,0,0,0,24.4,0,42.2,0,88.0,20,78.6,3.4,19.5,8.5,100,77.2,20.8,11.1,5.9,0,0.0
6.7,6.7,20.4,2.8,33,11.1,46.3,37,20,0,0,0,15.7,0,33.1,1.7,90.2,31.5,78.6,4.2,31.4,10.2,96,74.1,8.9,22.1,5.6,13,0.0
0,20.8,17.7,3.1,23.5,6.3,40,48.9,13.3,0,0,0,20,0,30,0,90.5,28.9,93.7,2.5,25.4,5.1,96.9,93.3,6.7,22.5,4.2,0,0.0
10.8,13.5,20.7,6.3,41.4,11.4,44.8,31,20,0,0,0,19.7,9.2,63.2,0,90.4,20.7,81.2,4.2,19.5,7.6,96.2,79.2,28.6,17.3,5.4,6.9,0.0
9.7,19.4,15.5,2.7,29.2,11.5,48.9,42.2,26.3,0,0,0,21.1,6.1,47.8,0,86.3,20,79.7,10.2,26.3,8.5,94.5,84.4,15.8,9.8,5.8,11.1,0.0
7.7,19.2,7.7,2.2,16.5,3.9,63.1,53.8,25.5,0,0,0,6.6,5.8,26.4,0,93.8,33.8,95.6,4.2,35.6,3.4,100,81.6,14.5,22.3,3.4,3.1,4.2
0,12.5,8.1,0,41,6.6,91.9,59.5,21.4,0,0,0,3.1,28.1,48.4,4.7,95.0,18.9,84.2,4.2,22.0,5.9,100,97.3,39.3,36.5,2.8,8.1,4.2
7.7,15.4,11.1,0,20,3,97.8,71.1,18.8,0,0,0,0,31.9,41.4,0,94.8,31.1,84.2,2.5,25.4,2.5,100,93.4,34.4,26.1,2.8,6.7,0.0
5.5,14.5,14.8,1.8,17.6,3.1,56.8,55.6,22.7,0,0,0,12.4,16.3,41.2,0,92.5,22,95.6,4.2,44.1,9.3,100,71.6,24.2,19.2,3.3,9.9,0.0
13.7,19.7,5.7,4.2,17.6,4.9,56.5,61.4,25.1,0.4,0,0,13.9,5.9,37.3,2,91.2,28.8,93.0,21.2,152.5,23.7,99.2,28.4,22.5,26.8,3.2,6.7,12.5
8.1,13.5,8.2,8,34.5,11.9,65.6,39.3,25,0,0,0,9.1,15.2,49.2,0,91.9,36.7,91.7,11.9,35.6,4.2,97,86.8,35.9,22.9,4.2,8.2,0.0
9.1,12.1,14,2.4,18.8,5.1,66.7,56.6,29.1,0,1.4,0,9.7,5.1,29.4,1.4,91.8,34.9,95.3,8.5,65.3,10.2,100,55.9,26.6,25.7,3.4,5.4,0.0
5.3,7.9,3.1,4.3,24.3,6.8,66.2,50.8,18.5,0,0,0,4.2,8.4,37,3.4,93.3,26.6,96.3,8.5,35.6,5.1,97.8,78.5,25.9,22.6,3.1,7.7,0.0
7.7,19.2,21.7,4.5,29,10.8,38.3,65,16.7,0,0,0,14,0,21,0,91.3,25,97.2,5.1,27.1,13.6,100,95,11.1,12.1,3.8,6.7,4.2
0,13.3,16.2,0,26,0,61.3,51.6,26.1,0,0,0,5.9,0,39.2,0,90.6,41.9,97.0,4.2,13.6,6.8,100,96.8,13,33.3,3.4,12.9,0.0
8.3,16.7,10.2,2.8,25.6,7.3,64.4,64.4,19.4,0,0,0,6.5,4.3,19.6,7.6,93.9,16.9,95.0,5.9,25.4,6.8,97,88.2,38.9,17.6,3.5,11.9,0.0
22.7,13.6,19.3,15,40,13.6,78.9,68.4,23.1,0,0,0,4.9,12.2,28,13.4,96.7,22.8,97.6,9.3,16.1,16.1,97.9,72,38.5,23.5,2.5,7,4.2
0,7.7,21.1,0,22.6,8.1,63.2,60.5,34.6,0,0,0,9.1,15.2,51.5,6.1,95.4,21.1,98.3,4.2,19.5,8.5,97.8,94.8,38.5,15.2,3.3,15.8,0.0
23.3,20,17,0,20.2,4.4,57.6,66.1,22.4,0,0,0,5.8,6.7,30.8,11.5,94.6,20.3,97.6,5.9,30.5,5.1,97.2,100,26.5,10.5,3.1,16.9,0.0
14.3,21.4,24,0,37.7,7.2,68,74,31.3,0,0,0,0,6.9,26.4,5.6,95.8,27.5,99.1,2.5,19.5,7.6,97.9,100,21.9,31,3.2,20,0.0
13,26.1,5.7,8,38.1,10.3,61.4,77.1,20,0,0,1.9,3.8,2.9,33.7,4.8,95.5,30.4,98.4,10.2,25.4,5.9,94.1,97.2,21.8,15.2,2.8,14.3,4.2
0,10.3,20,7.1,29.2,8,50.9,54.5,20,0,0,0,9.8,7.6,35.9,0,93.9,32.7,97.6,5.1,27.1,9.3,100,96.4,22,25,3.3,7.3,0.0
0,6.5,11.1,2.9,24.1,7.3,74.1,59.3,15.6,0,0,0,10.6,9.4,44,0,95.5,29.6,98.3,4.2,27.1,5.9,97.1,92.6,28.9,21.7,3,11.1,0.0
16,20,7.5,8.9,31,15.5,72.5,42.5,9.7,0,0,0,20.5,5.1,44.9,2.6,93.3,22.5,85.0,4.2,24.6,3.4,100,87.5,22.6,24.7,3.9,20,0.0
9.1,22.7,7.9,8.8,37.1,12.9,52.6,44.7,25.7,0,0,0,8.4,3.6,28.9,0,92.0,26.3,85.0,4.2,18.6,7.6,98.1,84.2,14.3,13.8,5,15.8,0.0
0,31.8,5.3,0,23.7,2.6,63.2,44.7,14,0,0,0,9.6,9.6,29.3,4.9,91.4,31.6,83.9,4.2,26.3,5.1,100,87,27.9,34.1,4.8,13.2,0.0
0,25,18,5.8,34,7,56,52,17.1,0,0,0,11.1,2.8,25.9,0,91.8,30,81.8,3.4,28.0,12.7,100,74,12.2,17.8,4.6,10,0.0
0,0,19.5,10.6,43.8,14.6,68.3,53.7,21.6,0,0,0,28.2,0,42.2,2.9,93.8,26.8,85.2,6.8,22.9,11.9,95.2,87.8,45.9,12.6,4.6,14.6,4.2
12.9,12.9,8.2,0,32.2,6.7,57.1,49,22.7,0,0,0,6.7,9.6,32.4,1.9,91.3,20.4,91.7,4.2,31.4,5.1,100,71.4,25,21.8,4.2,12.2,0.0
5.5,14.5,20,8.8,45.8,16.8,34.5,43.6,30.8,0,0,0,14.1,14.8,61.9,0,91.4,29.1,92.4,3.4,39.0,11.9,98.9,60,32.7,13.4,4.7,5.5,0.0
5.1,7.7,26.4,6.7,41.8,15.2,39.5,50,32.4,0,0,0,34,8.2,57.3,0,92.3,31.6,82.8,5.1,20.3,8.5,98.2,65.8,26.5,24.2,6.2,5.3,0.0
8.5,6.8,26,5.3,32.1,17.6,34,48,26.1,0,0,0,21.9,13.3,56.6,0,91.0,18,85.0,4.2,26.3,16.1,100,76,21.7,13.3,5.6,4,0.0
